Text_ID,Date,Activity,Activity_sequence,Activity_attribute,Role,Role_attribute,Person_name,person_sequence,Person_attribute,relation
PTS 2318,Jan 2 659,Dedication,,City:Dilbat |Object: child,buyer,,L‰b‰_i,31,NameType:Akk | Gender:Male,Son: 32
PTS 2318,Jan 2 660,Dedication,,City:Dilbat |Object: child, father,,N_dinu,32,NameType:Akk | Gender:Male,Father: 31
PTS 2318,Jan 2 661,Dedication,,City:Dilbat |Object: child,seller,,_a-p”-ili,33,NameType:Akk | Gender:Male,Father: 36
PTS 2318,Jan 2 662,Dedication,,City:Dilbat |Object: child,seller,,Bin_tu,34,NameType:Akk | Gender:Female,Mother: 36
PTS 2318,Jan 2 663,Dedication,,City:Dilbat |Object: child,seller,,_a-_apirti,35,NameType:Akk | Gender:Female,Mother: 36
PTS 2318,Jan 2 664,Dedication,,City:Dilbat |Object: child,dedicant,,Tardinnu,36,NameType:Akk | Gender:Male,Son: 33
PTS 2318,Jan 2 665,Dedication,,City:Dilbat |Object: child,witness,,[É]-_pu_,37,NameType:Akk | Gender:Male,Descendant: 38
PTS 2318,Jan 2 666,Dedication,,City:Dilbat |Object: child,ancestor,,Epp__-ili,38,NameType:Akk | Gender:Male,Ancestor: 37
PTS 2318,Jan 2 667,Dedication,,City:Dilbat |Object: child,witness,,B_l-useppi,39,NameType:Akk | Gender:Male,Descendant: 40
PTS 2318,Jan 2 668,Dedication,,City:Dilbat |Object: child,ancestor,,Tem_ya,40,NameType:Akk | Gender:Male,Ancestor: 39
PTS 2318,Jan 2 669,Dedication,,City:Dilbat |Object: child,witness,,B_l-iddin,41,NameType:Akk | Gender:Male,Descendant: 42
PTS 2318,Jan 2 670,Dedication,,City:Dilbat |Object: child,ancestor,,_ang_-Dilbat,42,NameType:Akk | Gender:Male,Ancestor: 41
PTS 2318,Jan 2 671,Dedication,,City:Dilbat |Object: child,witness,,A_a-er_ba,43,NameType:Akk | Gender:Male,Descendant: 43
PTS 2318,Jan 2 672,Dedication,,City:Dilbat |Object: child,ancestor,,Kal_mu,44,NameType:Akk | Gender:Male,Ancestor: 44
PTS 2318,Jan 2 673,Dedication,,City:Dilbat |Object: child,witness,,Nab_-z_ra-ibni,45,NameType:Akk | Gender:Male,Son: 46
PTS 2318,Jan 2 674,Dedication,,City:Dilbat |Object: child, father,,Nab_-a_a-iddin,46,NameType:Akk | Gender:Male,Father: 45
PTS 2318,Jan 2 675,Dedication,,City:Dilbat |Object: child,witness,,Kudurru,47,NameType:Akk | Gender:Male,Descendant: 48
PTS 2318,Jan 2 676,Dedication,,City:Dilbat |Object: child,ancestor,,_ang_-Dilbat,48,NameType:Akk | Gender:Male,Ancestor: 47
PTS 2318,Jan 2 677,Dedication,,City:Dilbat |Object: child,scribe,,Nab_-a___-bulli_,49,NameType:Akk | Gender:Male,Descendant: 50
PTS 2318,Jan 2 678,Dedication,,City:Dilbat |Object: child,ancestor,,Iddin-Papsukkal,50,NameType:Akk | Gender:Male,Ancestor: 49
BM 46542,Dec 21 653,Sale,,City:Dilbat |Object: land,place name,,Iqbi-Ura_,51,NameType:Akk | Gender:Male,Son: 52
BM 46542,Dec 21 654,Sale,,City:Dilbat |Object: land,place name,,Kidinnu,52,NameType:Akk | Gender:Male,Father: 51
BM 46542,Dec 21 655,Sale,,City:Dilbat |Object: land,neighbor,,N__iru,53,NameType:Akk | Gender:Male,Son: 54
BM 46542,Dec 21 656,Sale,,City:Dilbat |Object: land, father,,Nab_-a_a-_re_,54,NameType:Akk | Gender:Male,Father: 53
BM 46542,Dec 21 657,Sale,,City:Dilbat |Object: land,neighbor,,B_l-uballi_,55,NameType:Akk | Gender:Male,Descendant: 56
BM 46542,Dec 21 658,Sale,,City:Dilbat |Object: land,ancestor,,Rab_ssu,56,NameType:Akk | Gender:Male,Ancestor: 55
BM 46542,Dec 21 659,Sale,,City:Dilbat |Object: land,buyer,,L‰b‰_i,57,NameType:Akk | Gender:Male,Son: 58
BM 46542,Dec 21 660,Sale,,City:Dilbat |Object: land, father,,N_dinu,58,NameType:Akk | Gender:Male,Father: 57
BM 46542,Dec 21 661,Sale,,City:Dilbat |Object: land,seller,,Nab_-u_ab_i,59,NameType:Akk | Gender:Male,Son: 61
BM 46542,Dec 21 662,Sale,,City:Dilbat |Object: land,seller,,_ama_-iddin,60,NameType:Akk | Gender:Male,Son: 61
BM 46542,Dec 21 663,Sale,,City:Dilbat |Object: land, father,,A___a,61,NameType:Akk | Gender:Male,Father: 59 | Father: 60
BM 46542,Dec 21 664,Sale,,City:Dilbat |Object: land,house,,[É]-_re_,62,NameType:Akk | Gender:Male,Ancestor
BM 46542,Dec 21 665,Sale,,City:Dilbat |Object: land,witness,,B_l-__ir,63,NameType:Akk | Gender:Male,Descendant: 64
BM 46542,Dec 21 666,Sale,,City:Dilbat |Object: land,ancestor,,_ang_-Dilbat,64,NameType:Akk | Gender:Male,Ancestor: 63
BM 46542,Dec 21 667,Sale,,City:Dilbat |Object: land,witness,,B_l-r_manni,65,NameType:Akk | Gender:Male,Descendant: 66
BM 46542,Dec 21 668,Sale,,City:Dilbat |Object: land,ancestor,,Epp__-ili,66,NameType:Akk | Gender:Male,Ancestor: 65
BM 46542,Dec 21 669,Sale,,City:Dilbat |Object: land,witness,,R_m_tu,67,NameType:Akk | Gender:Male,Descendant: 68
BM 46542,Dec 21 670,Sale,,City:Dilbat |Object: land,ancestor,,_ang_-Dilbat,68,NameType:Akk | Gender:Male,Ancestor: 67
BM 46542,Dec 21 671,Sale,,City:Dilbat |Object: land,witness,,E__ru,69,NameType:Akk | Gender:Male,Descendant: 70
BM 46542,Dec 21 672,Sale,,City:Dilbat |Object: land,ancestor,,_ang_-Dilbat,70,NameType:Akk | Gender:Male,Ancestor: 69
BM 46542,Dec 21 673,Sale,,City:Dilbat |Object: land,witness,,Nab_-u_allim,71,NameType:Akk | Gender:Male,Descendat: 72
BM 46542,Dec 21 674,Sale,,City:Dilbat |Object: land,ancestor,,B_'iru,72,NameType:Akk | Gender:Male,Ancestor: 71
BM 46542,Dec 21 675,Sale,,City:Dilbat |Object: land,witness,,Marduk-n__ir,73,NameType:Akk | Gender:Male,Descendant: 74
BM 46542,Dec 21 676,Sale,,City:Dilbat |Object: land,ancestor,,S”n-imitt_,74,NameType:Akk | Gender:Male,Ancestor: 73
BM 46542,Dec 21 677,Sale,,City:Dilbat |Object: land,scribe,,Nab_-kudurr_-u_ur,75,NameType:Akk | Gender:Male,Descendant: 76
BM 46542,Dec 21 678,Sale,,City:Dilbat |Object: land,ancestor,,_ang_-Dilbat,76,NameType:Akk | Gender:Male,Ancestor: 75
MLC 1739,Apr 15 648,Sale,,City:Borsippa |Object: land,place name,,Iqbi-Ura_,77,NameType:Akk | Gender:Male,Descendant: 78
MLC 1739,Apr 15 649,Sale,,City:Borsippa |Object: land,place name,,R_'_-alp_,78,NameType:Akk | Gender:Male,Ancestor: 77
MLC 1739,Apr 15 650,Sale,,City:Borsippa |Object: land,buyer | neighbor,,L‰b‰_i,79,NameType:Akk | Gender:Male,Son: 81
MLC 1739,Apr 15 651,Sale,,City:Borsippa |Object: land, father,,N_dinu,80,NameType:Akk | Gender:Male,Father: 79
MLC 1739,Apr 15 652,Sale,,City:Borsippa |Object: land,neighbor,,Ura_-u_allim,81,NameType:Akk | Gender:Male,Son: 83
MLC 1739,Apr 15 653,Sale,,City:Borsippa |Object: land, father,,Nab_-er_ba,82,NameType:Akk | Gender:Male,Father: 82
MLC 1739,Apr 15 654,Sale,,City:Borsippa |Object: land,place name,,Iqbi-Ura_,83,NameType:Akk | Gender:Male,Son: 85
MLC 1739,Apr 15 655,Sale,,City:Borsippa |Object: land,place name,,Kidinnu,84,NameType:Akk | Gender:Male,Father: 84
MLC 1739,Apr 15 656,Sale,,City:Borsippa |Object: land,seller,,Nab_-k__ir,85,NameType:Akk | Gender:Male,Son: 88
MLC 1739,Apr 15 657,Sale,,City:Borsippa |Object: land,seller,,Ura_-n__ir,86,NameType:Akk | Gender:Male,Son: 88
MLC 1739,Apr 15 658,Sale,,City:Borsippa |Object: land, father,,B_l-upa__ir,87,NameType:Akk | Gender:Male,Father: 86 | Father: 87
MLC 1739,Apr 15 659,Sale,,City:Borsippa |Object: land,house,,Rab_ssu,88,NameType:Akk | Gender:Male,
MLC 1739,Apr 15 660,Sale,,City:Borsippa |Object: land,witness,,Nab_-a___-bulli_,89,NameType:Akk | Gender:Male,Descendant: 92
MLC 1739,Apr 15 661,Sale,,City:Borsippa |Object: land,ancestor,,_ang_-Dilbat,90,NameType:Akk | Gender:Male,Ancestor: 91
MLC 1739,Apr 15 662,Sale,,City:Borsippa |Object: land,witness,,R_m_tu,91,NameType:Akk | Gender:Male,Son: 94
MLC 1739,Apr 15 663,Sale,,City:Borsippa |Object: land, father,,_ul_a,92,NameType:Akk | Gender:Male,Father: 93
MLC 1739,Apr 15 664,Sale,,City:Borsippa |Object: land,witness,,Nab_-z_ra-uk_n,93,NameType:Akk | Gender:Male,Son: 96
MLC 1739,Apr 15 665,Sale,,City:Borsippa |Object: land, father,,Nab_-_uma-iddin,94,NameType:Akk | Gender:Male,Father: 95
MLC 1739,Apr 15 666,Sale,,City:Borsippa |Object: land,witness,,Kin_,95,NameType:Akk | Gender:Male,Son: 98
MLC 1739,Apr 15 667,Sale,,City:Borsippa |Object: land, father,,Ura_-iddin,96,NameType:Akk | Gender:Male,Father: 97
MLC 1739,Apr 15 668,Sale,,City:Borsippa |Object: land,witness,,Ura_-iddin,97,NameType:Akk | Gender:Male,Son: 100
MLC 1739,Apr 15 669,Sale,,City:Borsippa |Object: land, father,,R_m_tu,98,NameType:Akk | Gender:Male,Father: 99
MLC 1739,Apr 15 670,Sale,,City:Borsippa |Object: land,scribe,,Nab_-n_din-a_i,99,NameType:Akk | Gender:Male,Descendant: 102
MLC 1739,Apr 15 671,Sale,,City:Borsippa |Object: land,ancestor,,_ang_-Dilbat,100,NameType:Akk | Gender:Male,Ancestor: 101
BM 134973,May 28 648,Loan,,City:Borsippa |Object: silver,lender,,L‰b‰_i,101,NameType:Akk | Gender:Male,Son: 104
BM 134973,May 28 649,Loan,,City:Borsippa |Object: silver, father,,N_dinu,102,NameType:Akk | Gender:Male,Father: 103
BM 134973,May 28 650,Loan,,City:Borsippa |Object: silver,borrower,,Qarr_d-ili,103,NameType:Akk | Gender:Male,
BM 134973,May 28 651,Loan,,City:Borsippa |Object: silver,borrower,,Ura_-ibni,104,NameType:Akk | Gender:Male,Son: 107
BM 134973,May 28 652,Loan,,City:Borsippa |Object: silver, father,,Qarr_d-ili,105,NameType:Akk | Gender:Male,Father: 106
BM 134973,May 28 653,Loan,,City:Borsippa |Object: orchard,,,Re__ya,106,NameType:Akk | Gender:Male,
BM 134973,May 28 654,Loan,,City:Borsippa |Object: orchard,neighbor,,Ka[É],107,NameType:Akk | Gender:Male,
BM 134973,May 28 655,Loan,,City:Borsippa |Object: silver,witness,,Nab_-u_allim,108,NameType:Akk | Gender:Male,Son: 111
BM 134973,May 28 656,Loan,,City:Borsippa |Object: silver, father,,A___tu,109,NameType:Akk | Gender:Male,Father: 110
BM 134973,May 28 657,Loan,,City:Borsippa |Object: silver,witness,,R_m_tu,110,NameType:Akk | Gender:Male,Son: 113
BM 134973,May 28 658,Loan,,City:Borsippa |Object: silver, father,,Ibn_ya,111,NameType:Akk | Gender:Male,Father: 112
BM 134973,May 28 659,Loan,,City:Borsippa |Object: silver,witness,,Kun_,112,NameType:Akk | Gender:Male,Son: 115
BM 134973,May 28 660,Loan,,City:Borsippa |Object: silver,ancestor,,Ea-dip_r-il_ni,113,NameType:Akk | Gender:Male,Ancestor: 114
BM 134973,May 28 661,Loan,,City:Borsippa |Object: silver,witness,,B_l-a___-er_ba,114,NameType:Akk | Gender:Male,Son: 117
BM 134973,May 28 662,Loan,,City:Borsippa |Object: silver, father,,L‰b‰_i-il_,115,NameType:Akk | Gender:Male,Father: 116
BM 134973,May 28 663,Loan,,City:Borsippa |Object: silver,scribe,,B_l-a_a-iddin,116,NameType:Akk | Gender:Male,Descendant: 119
BM 134973,May 28 664,Loan,,City:Borsippa |Object: silver,ancestor,,Q_pu,117,NameType:Akk | Gender:Male,Ancestor: 118
BM 134969,Apr 12 614,Loan,,City:Dilbat |Object: land,lender,,L‰b‰_i,118,NameType:Akk | Gender:Male,Son: 120
BM 134969,Apr 12 615,Loan,,City:Dilbat |Object: land, father,,N_dinu,119,NameType:Akk | Gender:Male,Father: 121
BM 134969,Apr 12 616,Loan,,City:Dilbat |Object: land,neighbor,,Imb_,120,NameType:Akk | Gender:Male,Son: 123
BM 134969,Apr 12 617,Loan,,City:Dilbat |Object: land, father,,Kin_,121,NameType:Akk | Gender:Male,Father: 122
BM 134969,Apr 12 618,Loan,,City:Dilbat |Object: land,borrower,,Bal_ssu,122,NameType:Akk | Gender:Male,Son: 125
BM 134969,Apr 12 619,Loan,,City:Dilbat |Object: land, father,,Nab_-a___-bulli_,123,NameType:Akk | Gender:Male,Father: 124
BM 134969,Apr 12 620,Loan,,City:Dilbat |Object: land,witness,,B_l-z_ri,124,NameType:Akk | Gender:Male,Descendant: 127
BM 134969,Apr 12 621,Loan,,City:Dilbat |Object: land,ancestor,,_ang_-Dilbat,125,NameType:Akk | Gender:Male,Ancestor: 126
BM 134969,Apr 12 622,Loan,,City:Dilbat |Object: land,witness,,Gula-z_ra-ibni,126,NameType:Akk | Gender:Male,Son: 129
BM 134969,Apr 12 623,Loan,,City:Dilbat |Object: land, father,,Ninurta-a_a-iddin,127,NameType:Akk | Gender:Male,Father: 128
BM 134969,Apr 12 624,Loan,,City:Dilbat |Object: land,scribe,,Nab_-n_din-a_i,128,NameType:Akk | Gender:Male,
BM 134969,Apr 12 625,Loan,,City:Dilbat |Object: land,ancestor,,B_l-e__ru,129,NameType:Akk | Gender:Male,
,,,,,,,,,,
,,,,,,,,,,
