Text_ID,Date,Activity_attribute,Activity,Activity_attribute,Role,Person_name,Person_attribute,relation
PTS 2318,Jan 2 659,City:Dilbat,Dedication,Object: child,buyer,L‰b‰_i,NameType:Akk | Gender:Male,Son: 32
PTS 2318,Jan 2 660,City:Dilbat,Dedication,Object: child, father,N_dinu,NameType:Akk | Gender:Male,Father: 31
PTS 2318,Jan 2 661,City:Dilbat,Dedication,Object: child,seller,_a-p”-ili,NameType:Akk | Gender:Male,Father: 36
PTS 2318,Jan 2 662,City:Dilbat,Dedication,Object: child,seller,Bin_tu,NameType:Akk | Gender:Female,Mother: 36
PTS 2318,Jan 2 663,City:Dilbat,Dedication,Object: child,seller,_a-_apirti,NameType:Akk | Gender:Female,Mother: 36
PTS 2318,Jan 2 664,City:Dilbat,Dedication,Object: child,dedicant,Tardinnu,NameType:Akk | Gender:Male,Son: 33
PTS 2318,Jan 2 665,City:Dilbat,Dedication,Object: child,witness,[É]-_pu_,NameType:Akk | Gender:Male,Descendant: 38
PTS 2318,Jan 2 666,City:Dilbat,Dedication,Object: child,ancestor,Epp__-ili,NameType:Akk | Gender:Male,Ancestor: 37
PTS 2318,Jan 2 667,City:Dilbat,Dedication,Object: child,witness,B_l-useppi,NameType:Akk | Gender:Male,Descendant: 40
PTS 2318,Jan 2 668,City:Dilbat,Dedication,Object: child,ancestor,Tem_ya,NameType:Akk | Gender:Male,Ancestor: 39
PTS 2318,Jan 2 669,City:Dilbat,Dedication,Object: child,witness,B_l-iddin,NameType:Akk | Gender:Male,Descendant: 42
PTS 2318,Jan 2 670,City:Dilbat,Dedication,Object: child,ancestor,_angž-Dilbat,NameType:Akk | Gender:Male,Ancestor: 41
PTS 2318,Jan 2 671,City:Dilbat,Dedication,Object: child,witness,A_a-er_ba,NameType:Akk | Gender:Male,Descendant: 43
PTS 2318,Jan 2 672,City:Dilbat,Dedication,Object: child,ancestor,Kal_mu,NameType:Akk | Gender:Male,Ancestor: 44
PTS 2318,Jan 2 673,City:Dilbat,Dedication,Object: child,witness,Nabž-z_ra-ibni,NameType:Akk | Gender:Male,Son: 46
PTS 2318,Jan 2 674,City:Dilbat,Dedication,Object: child, father,Nabž-a_a-iddin,NameType:Akk | Gender:Male,Father: 45
PTS 2318,Jan 2 675,City:Dilbat,Dedication,Object: child,witness,Kudurru,NameType:Akk | Gender:Male,Descendant: 48
PTS 2318,Jan 2 676,City:Dilbat,Dedication,Object: child,ancestor,_angž-Dilbat,NameType:Akk | Gender:Male,Ancestor: 47
PTS 2318,Jan 2 677,City:Dilbat,Dedication,Object: child,scribe,Nabž-a___-bulli_,NameType:Akk | Gender:Male,Descendant: 50
PTS 2318,Jan 2 678,City:Dilbat,Dedication,Object: child,ancestor,Iddin-Papsukkal,NameType:Akk | Gender:Male,Ancestor: 49
BM 46542,Dec 21 653,City:Dilbat,Sale,Object: land,place name,Iqbi-Ura_,NameType:Akk | Gender:Male,Son: 52
BM 46542,Dec 21 654,City:Dilbat,Sale,Object: land,place name,Kidinnu,NameType:Akk | Gender:Male,Father: 51
BM 46542,Dec 21 655,City:Dilbat,Sale,Object: land,neighbor,N__iru,NameType:Akk | Gender:Male,Son: 54
BM 46542,Dec 21 656,City:Dilbat,Sale,Object: land, father,Nabž-a_a-_re_,NameType:Akk | Gender:Male,Father: 53
BM 46542,Dec 21 657,City:Dilbat,Sale,Object: land,neighbor,B_l-uballi_,NameType:Akk | Gender:Male,Descendant: 56
BM 46542,Dec 21 658,City:Dilbat,Sale,Object: land,ancestor,Rabžssu,NameType:Akk | Gender:Male,Ancestor: 55
BM 46542,Dec 21 659,City:Dilbat,Sale,Object: land,buyer,L‰b‰_i,NameType:Akk | Gender:Male,Son: 58
BM 46542,Dec 21 660,City:Dilbat,Sale,Object: land, father,N_dinu,NameType:Akk | Gender:Male,Father: 57
BM 46542,Dec 21 661,City:Dilbat,Sale,Object: land,seller,Nabž-u_ab_i,NameType:Akk | Gender:Male,Son: 61
BM 46542,Dec 21 662,City:Dilbat,Sale,Object: land,seller,_ama_-iddin,NameType:Akk | Gender:Male,Son: 61
BM 46542,Dec 21 663,City:Dilbat,Sale,Object: land, father,A___a,NameType:Akk | Gender:Male,Father: 59 | Father: 60
BM 46542,Dec 21 664,City:Dilbat,Sale,Object: land,house,[É]-_re_,NameType:Akk | Gender:Male,Ancestor
BM 46542,Dec 21 665,City:Dilbat,Sale,Object: land,witness,B_l-__ir,NameType:Akk | Gender:Male,Descendant: 64
BM 46542,Dec 21 666,City:Dilbat,Sale,Object: land,ancestor,_angž-Dilbat,NameType:Akk | Gender:Male,Ancestor: 63
BM 46542,Dec 21 667,City:Dilbat,Sale,Object: land,witness,B_l-r_manni,NameType:Akk | Gender:Male,Descendant: 66
BM 46542,Dec 21 668,City:Dilbat,Sale,Object: land,ancestor,Epp__-ili,NameType:Akk | Gender:Male,Ancestor: 65
BM 46542,Dec 21 669,City:Dilbat,Sale,Object: land,witness,R_m_tu,NameType:Akk | Gender:Male,Descendant: 68
BM 46542,Dec 21 670,City:Dilbat,Sale,Object: land,ancestor,_angž-Dilbat,NameType:Akk | Gender:Male,Ancestor: 67
BM 46542,Dec 21 671,City:Dilbat,Sale,Object: land,witness,E__ru,NameType:Akk | Gender:Male,Descendant: 70
BM 46542,Dec 21 672,City:Dilbat,Sale,Object: land,ancestor,_angž-Dilbat,NameType:Akk | Gender:Male,Ancestor: 69
BM 46542,Dec 21 673,City:Dilbat,Sale,Object: land,witness,Nabž-u_allim,NameType:Akk | Gender:Male,Descendat: 72
BM 46542,Dec 21 674,City:Dilbat,Sale,Object: land,ancestor,B_'iru,NameType:Akk | Gender:Male,Ancestor: 71
BM 46542,Dec 21 675,City:Dilbat,Sale,Object: land,witness,Marduk-n__ir,NameType:Akk | Gender:Male,Descendant: 74
BM 46542,Dec 21 676,City:Dilbat,Sale,Object: land,ancestor,S”n-imitt_,NameType:Akk | Gender:Male,Ancestor: 73
BM 46542,Dec 21 677,City:Dilbat,Sale,Object: land,scribe,Nabž-kudurr_-u_ur,NameType:Akk | Gender:Male,Descendant: 76
BM 46542,Dec 21 678,City:Dilbat,Sale,Object: land,ancestor,_angž-Dilbat,NameType:Akk | Gender:Male,Ancestor: 75
MLC 1739,Apr 15 648,City:Borsippa,Sale,Object: land,place name,Iqbi-Ura_,NameType:Akk | Gender:Male,Descendant: 78
MLC 1739,Apr 15 649,City:Borsippa,Sale,Object: land,place name,R_'ž-alp_,NameType:Akk | Gender:Male,Ancestor: 77
MLC 1739,Apr 15 650,City:Borsippa,Sale,Object: land,buyer | neighbor,L‰b‰_i,NameType:Akk | Gender:Male,Son: 81
MLC 1739,Apr 15 651,City:Borsippa,Sale,Object: land, father,N_dinu,NameType:Akk | Gender:Male,Father: 79
MLC 1739,Apr 15 652,City:Borsippa,Sale,Object: land,neighbor,Ura_-u_allim,NameType:Akk | Gender:Male,Son: 83
MLC 1739,Apr 15 653,City:Borsippa,Sale,Object: land, father,Nabž-er_ba,NameType:Akk | Gender:Male,Father: 82
MLC 1739,Apr 15 654,City:Borsippa,Sale,Object: land,place name,Iqbi-Ura_,NameType:Akk | Gender:Male,Son: 85
MLC 1739,Apr 15 655,City:Borsippa,Sale,Object: land,place name,Kidinnu,NameType:Akk | Gender:Male,Father: 84
MLC 1739,Apr 15 656,City:Borsippa,Sale,Object: land,seller,Nabž-k__ir,NameType:Akk | Gender:Male,Son: 88
MLC 1739,Apr 15 657,City:Borsippa,Sale,Object: land,seller,Ura_-n__ir,NameType:Akk | Gender:Male,Son: 88
MLC 1739,Apr 15 658,City:Borsippa,Sale,Object: land, father,B_l-upa__ir,NameType:Akk | Gender:Male,Father: 86 | Father: 87
MLC 1739,Apr 15 659,City:Borsippa,Sale,Object: land,house,Rabžssu,NameType:Akk | Gender:Male,
MLC 1739,Apr 15 660,City:Borsippa,Sale,Object: land,witness,Nabž-a___-bulli_,NameType:Akk | Gender:Male,Descendant: 92
MLC 1739,Apr 15 661,City:Borsippa,Sale,Object: land,ancestor,_angž-Dilbat,NameType:Akk | Gender:Male,Ancestor: 91
MLC 1739,Apr 15 662,City:Borsippa,Sale,Object: land,witness,R_m_tu,NameType:Akk | Gender:Male,Son: 94
MLC 1739,Apr 15 663,City:Borsippa,Sale,Object: land, father,_ul_a,NameType:Akk | Gender:Male,Father: 93
MLC 1739,Apr 15 664,City:Borsippa,Sale,Object: land,witness,Nabž-z_ra-uk_n,NameType:Akk | Gender:Male,Son: 96
MLC 1739,Apr 15 665,City:Borsippa,Sale,Object: land, father,Nabž-_uma-iddin,NameType:Akk | Gender:Male,Father: 95
MLC 1739,Apr 15 666,City:Borsippa,Sale,Object: land,witness,Kin_,NameType:Akk | Gender:Male,Son: 98
MLC 1739,Apr 15 667,City:Borsippa,Sale,Object: land, father,Ura_-iddin,NameType:Akk | Gender:Male,Father: 97
MLC 1739,Apr 15 668,City:Borsippa,Sale,Object: land,witness,Ura_-iddin,NameType:Akk | Gender:Male,Son: 100
MLC 1739,Apr 15 669,City:Borsippa,Sale,Object: land, father,R_m_tu,NameType:Akk | Gender:Male,Father: 99
MLC 1739,Apr 15 670,City:Borsippa,Sale,Object: land,scribe,Nabž-n_din-a_i,NameType:Akk | Gender:Male,Descendant: 102
MLC 1739,Apr 15 671,City:Borsippa,Sale,Object: land,ancestor,_angž-Dilbat,NameType:Akk | Gender:Male,Ancestor: 101
BM 134973,May 28 648,City:Borsippa,Loan,Object: silver,lender,L‰b‰_i,NameType:Akk | Gender:Male,Son: 104
BM 134973,May 28 649,City:Borsippa,Loan,Object: silver, father,N_dinu,NameType:Akk | Gender:Male,Father: 103
BM 134973,May 28 650,City:Borsippa,Loan,Object: silver,borrower,Qarr_d-ili,NameType:Akk | Gender:Male,
BM 134973,May 28 651,City:Borsippa,Loan,Object: silver,borrower,Ura_-ibni,NameType:Akk | Gender:Male,Son: 107
BM 134973,May 28 652,City:Borsippa,Loan,Object: silver, father,Qarr_d-ili,NameType:Akk | Gender:Male,Father: 106
BM 134973,May 28 653,City:Borsippa,Loan,Object: orchard,,Re__ya,NameType:Akk | Gender:Male,
BM 134973,May 28 654,City:Borsippa,Loan,Object: orchard,neighbor,Ka[É],NameType:Akk | Gender:Male,
BM 134973,May 28 655,City:Borsippa,Loan,Object: silver,witness,Nabž-u_allim,NameType:Akk | Gender:Male,Son: 111
BM 134973,May 28 656,City:Borsippa,Loan,Object: silver, father,A___tu,NameType:Akk | Gender:Male,Father: 110
BM 134973,May 28 657,City:Borsippa,Loan,Object: silver,witness,R_m_tu,NameType:Akk | Gender:Male,Son: 113
BM 134973,May 28 658,City:Borsippa,Loan,Object: silver, father,Ibn_ya,NameType:Akk | Gender:Male,Father: 112
BM 134973,May 28 659,City:Borsippa,Loan,Object: silver,witness,Kun_,NameType:Akk | Gender:Male,Son: 115
BM 134973,May 28 660,City:Borsippa,Loan,Object: silver,ancestor,Ea-dip_r-il_ni,NameType:Akk | Gender:Male,Ancestor: 114
BM 134973,May 28 661,City:Borsippa,Loan,Object: silver,witness,B_l-a___-er_ba,NameType:Akk | Gender:Male,Son: 117
BM 134973,May 28 662,City:Borsippa,Loan,Object: silver, father,L‰b‰_i-il_,NameType:Akk | Gender:Male,Father: 116
BM 134973,May 28 663,City:Borsippa,Loan,Object: silver,scribe,B_l-a_a-iddin,NameType:Akk | Gender:Male,Descendant: 119
BM 134973,May 28 664,City:Borsippa,Loan,Object: silver,ancestor,Q_pu,NameType:Akk | Gender:Male,Ancestor: 118
BM 134969,Apr 12 614,City:Dilbat,Loan,Object: land,lender,L‰b‰_i,NameType:Akk | Gender:Male,Son: 120
BM 134969,Apr 12 615,City:Dilbat,Loan,Object: land, father,N_dinu,NameType:Akk | Gender:Male,Father: 121
BM 134969,Apr 12 616,City:Dilbat,Loan,Object: land,neighbor,Imb_,NameType:Akk | Gender:Male,Son: 123
BM 134969,Apr 12 617,City:Dilbat,Loan,Object: land, father,Kin_,NameType:Akk | Gender:Male,Father: 122
BM 134969,Apr 12 618,City:Dilbat,Loan,Object: land,borrower,Bal_ssu,NameType:Akk | Gender:Male,Son: 125
BM 134969,Apr 12 619,City:Dilbat,Loan,Object: land, father,Nabž-a___-bulli_,NameType:Akk | Gender:Male,Father: 124
BM 134969,Apr 12 620,City:Dilbat,Loan,Object: land,witness,B_l-z_ri,NameType:Akk | Gender:Male,Descendant: 127
BM 134969,Apr 12 621,City:Dilbat,Loan,Object: land,ancestor,_angž-Dilbat,NameType:Akk | Gender:Male,Ancestor: 126
BM 134969,Apr 12 622,City:Dilbat,Loan,Object: land,witness,Gula-z_ra-ibni,NameType:Akk | Gender:Male,Son: 129
BM 134969,Apr 12 623,City:Dilbat,Loan,Object: land, father,Ninurta-a_a-iddin,NameType:Akk | Gender:Male,Father: 128
BM 134969,Apr 12 624,City:Dilbat,Loan,Object: land,scribe,Nabž-n_din-a_i,NameType:Akk | Gender:Male,Descendant: 131
BM 134969,Apr 12 625,City:Dilbat,Loan,Object: land,ancestor,B_l-e__ru,NameType:Akk | Gender:Male,Ancestor: 130
