Text_ID,Date,Activity,Activity_sequence,Activity_attribute,Role,Role_attribute,Person_name,Person_sequence,Person_attribute,Relation,
MLC 1786,Jan 29 700,Loan,,Object:Barley|City:Dilbat,lender,,N_dinu,1,NameType:Akk | Gender:Male,Son:2,
BM 134970,Jan 25 684,Sale,,Object:Land | City:Dilbat,buyer,,_arr_ni,18,NameType:Akk | Gender:Male,Son:19,
BM 134970,Jan 25 685,Sale,,Object:Land | City:Dilbat,buyer,,N_dinu,19,NameType:Akk | Gender:Male,Son:18,
BM 134970,Jan 25 686,Sale,,Object:Land | City:Dilbat, father,,Am_l-Nan_ya,20,NameType:Akk | Gender:Male,,
BM 134970,Jan 25 687,Sale,,Object:Land | City:Dilbat,seller,,_a-p”-Nabž,21,NameType:Akk | Gender:Male,,
BM 134970,Jan 25 688,Sale,,Object:Land | City:Dilbat,ancestor,,A_ab_u,22,NameType:Akk | Gender:Male,,
BM 134970,Jan 25 689,Sale,,Object:Land | City:Dilbat,witness,,Ura_-udammiq,23,NameType:Akk | Gender:Male,,
BM 134970,Jan 25 690,Sale,,Object:Land | City:Dilbat,ancestor,,Kidin-Ura_,24,NameType:Akk | Gender:Male,,
BM 134970,Jan 25 691,Sale,,Object:Land | City:Dilbat,witness,,B_l-a___-er_ba,25,NameType:Akk | Gender:Male,,
BM 134970,Jan 25 692,Sale,,Object:Land | City:Dilbat,ancestor,,A_ab_u,26,NameType:Akk | Gender:Male,,
BM 134970,Jan 25 693,Sale,,Object:Land | City:Dilbat,witness,,B_l-l_'i,27,NameType:Akk | Gender:Male,,
BM 134970,Jan 25 694,Sale,,Object:Land | City:Dilbat,witness,,Ir‰nni,28,NameType:Akk | Gender:Male,,
BM 134970,Jan 25 695,Sale,,Object:Land | City:Dilbat,witness,,Er_ba,29,NameType:Akk | Gender:Male,,
BM 134970,Jan 25 696,Sale,,Object:Land | City:Dilbat,witness,,_angž-Dilbat,30,NameType:Akk | Gender:Male,,
PTS 2318,Jan 2 659,Dedication,,Object:Child | City:Dilbat,buyer,,L‰b‰_i,31,NameType:Akk | Gender:Male,,
PTS 2318,Jan 2 660,Dedication,,Object:Child | City:Dilbat, father,,N_dinu,32,NameType:Akk | Gender:Male,,
PTS 2318,Jan 2 661,Dedication,,Object:Child | City:Dilbat,seller,,_a-p”-ili,33,NameType:Akk | Gender:Male,,
PTS 2318,Jan 2 662,Dedication,,Object:Child | City:Dilbat,seller,,Bin_tu,34,NameType:Akk | Gender:Female,,
PTS 2318,Jan 2 663,Dedication,,Object:Child | City:Dilbat,seller,,_a-_apirti,35,NameType:Akk | Gender:Female,,
PTS 2318,Jan 2 664,Dedication,,Object:Child | City:Dilbat,dedicant,,Tardinnu,36,NameType:Akk | Gender:Male,,
PTS 2318,Jan 2 665,Dedication,,Object:Child | City:Dilbat,witness,,[É]-_pu_,37,NameType:Akk | Gender:Male,,
PTS 2318,Jan 2 666,Dedication,,Object:Child | City:Dilbat,ancestor,,Epp__-ili,38,NameType:Akk | Gender:Male,,
PTS 2318,Jan 2 667,Dedication,,Object:Child | City:Dilbat,witness,,B_l-useppi,39,NameType:Akk | Gender:Male,,
PTS 2318,Jan 2 668,Dedication,,Object:Child | City:Dilbat,ancestor,,Tem_ya,40,NameType:Akk | Gender:Male,,
PTS 2318,Jan 2 669,Dedication,,Object:Child | City:Dilbat,witness,,B_l-iddin,41,NameType:Akk | Gender:Male,,
PTS 2318,Jan 2 670,Dedication,,Object:Child | City:Dilbat,ancestor,,_angž-Dilbat,42,NameType:Akk | Gender:Male,,
PTS 2318,Jan 2 671,Dedication,,Object:Child | City:Dilbat,witness,,A_a-er_ba,43,NameType:Akk | Gender:Male,,
PTS 2318,Jan 2 672,Dedication,,Object:Child | City:Dilbat,ancestor,,Kal_mu,44,NameType:Akk | Gender:Male,,
PTS 2318,Jan 2 673,Dedication,,Object:Child | City:Dilbat,witness,,Nabž-z_ra-ibni,45,NameType:Akk | Gender:Male,,
PTS 2318,Jan 2 674,Dedication,,Object:Child | City:Dilbat, father,,Nabž-a_a-iddin,46,NameType:Akk | Gender:Male,,
PTS 2318,Jan 2 675,Dedication,,Object:Child | City:Dilbat,witness,,Kudurru,47,NameType:Akk | Gender:Male,,
PTS 2318,Jan 2 676,Dedication,,Object:Child | City:Dilbat,ancestor,,_angž-Dilbat,48,NameType:Akk | Gender:Male,,
PTS 2318,Jan 2 677,Dedication,,Object:Child | City:Dilbat,scribe,,Nabž-a___-bulli_,49,NameType:Akk | Gender:Male,,
PTS 2318,Jan 2 678,Dedication,,Object:Child | City:Dilbat,ancestor,,Iddin-Papsukkal,50,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 653,Sale,,Object:Land | City:Dilbat,place name,,Iqbi-Ura_,51,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 654,Sale,,Object:Land | City:Dilbat,place name,,Kidinnu,52,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 655,Sale,,Object:Land | City:Dilbat,neighbor,,N__iru,53,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 656,Sale,,Object:Land | City:Dilbat, father,,Nabž-a_a-_re_,54,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 657,Sale,,Object:Land | City:Dilbat,neighbor,,B_l-uballi_,55,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 658,Sale,,Object:Land | City:Dilbat,ancestor,,Rabžssu,56,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 659,Sale,,Object:Land | City:Dilbat,buyer,,L‰b‰_i,57,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 660,Sale,,Object:Land | City:Dilbat, father,,N_dinu,58,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 661,Sale,,Object:Land | City:Dilbat,seller,,Nabž-u_ab_i,59,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 662,Sale,,Object:Land | City:Dilbat,seller,,_ama_-iddin,60,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 663,Sale,,Object:Land | City:Dilbat, father,,A___a,61,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 664,Sale,,Object:Land | City:Dilbat,house,,[É]-_re_,62,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 665,Sale,,Object:Land | City:Dilbat,witness,,B_l-__ir,63,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 666,Sale,,Object:Land | City:Dilbat,ancestor,,_angž-Dilbat,64,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 667,Sale,,Object:Land | City:Dilbat,witness,,B_l-r_manni,65,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 668,Sale,,Object:Land | City:Dilbat,ancestor,,Epp__-ili,66,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 669,Sale,,Object:Land | City:Dilbat,witness,,R_m_tu,67,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 670,Sale,,Object:Land | City:Dilbat,ancestor,,_angž-Dilbat,68,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 671,Sale,,Object:Land | City:Dilbat,witness,,E__ru,69,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 672,Sale,,Object:Land | City:Dilbat,ancestor,,_angž-Dilbat,70,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 673,Sale,,Object:Land | City:Dilbat,witness,,Nabž-u_allim,71,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 674,Sale,,Object:Land | City:Dilbat,ancestor,,B_'iru,72,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 675,Sale,,Object:Land | City:Dilbat,witness,,Marduk-n__ir,73,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 676,Sale,,Object:Land | City:Dilbat,ancestor,,S”n-imitt_,74,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 677,Sale,,Object:Land | City:Dilbat,scribe,,Nabž-kudurr_-u_ur,75,NameType:Akk | Gender:Male,,
BM 46542,Dec 21 678,Sale,,Object:Land | City:Dilbat,ancestor,,_angž-Dilbat,76,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 648,Sale,,Object:Land | City:Borsippa,place name,,Iqbi-Ura_,77,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 649,Sale,,Object:Land | City:Borsippa,place name,,R_'ž-alp_,78,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 650,Sale,,Object:Land | City:Borsippa,buyer | neighbor,,L‰b‰_i,79,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 651,Sale,,Object:Land | City:Borsippa, father,,N_dinu,80,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 652,Sale,,Object:Land | City:Borsippa,neighbor,,Ura_-u_allim,81,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 653,Sale,,Object:Land | City:Borsippa, father,,Nabž-er_ba,82,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 654,Sale,,Object:Land | City:Borsippa,place name,,Iqbi-Ura_,83,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 655,Sale,,Object:Land | City:Borsippa,place name,,Kidinnu,84,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 656,Sale,,Object:Land | City:Borsippa,seller,,Nabž-k__ir,85,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 657,Sale,,Object:Land | City:Borsippa,seller,,Ura_-n__ir,86,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 658,Sale,,Object:Land | City:Borsippa, father,,B_l-upa__ir,87,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 659,Sale,,Object:Land | City:Borsippa,house,,Rabžssu,88,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 660,Sale,,Object:Land | City:Borsippa,witness,,Nabž-a___-bulli_,89,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 661,Sale,,Object:Land | City:Borsippa,ancestor,,_angž-Dilbat,90,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 662,Sale,,Object:Land | City:Borsippa,witness,,R_m_tu,91,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 663,Sale,,Object:Land | City:Borsippa, father,,_ul_a,92,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 664,Sale,,Object:Land | City:Borsippa,witness,,Nabž-z_ra-uk_n,93,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 665,Sale,,Object:Land | City:Borsippa, father,,Nabž-_uma-iddin,94,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 666,Sale,,Object:Land | City:Borsippa,witness,,Kin_,95,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 667,Sale,,Object:Land | City:Borsippa, father,,Ura_-iddin,96,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 668,Sale,,Object:Land | City:Borsippa,witness,,Ura_-iddin,97,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 669,Sale,,Object:Land | City:Borsippa, father,,R_m_tu,98,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 670,Sale,,Object:Land | City:Borsippa,scribe,,Nabž-n_din-a_i,99,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 671,Sale,,Object:Land | City:Borsippa,ancestor,,_angž-Dilbat,100,NameType:Akk | Gender:Male,,
BM 134973,May 28 648,Loan,,Object:Silver | City:Borsippa,lender,,L‰b‰_i,101,NameType:Akk | Gender:Male,,
BM 134973,May 28 649,Loan,,Object:Silver | City:Borsippa, father,,N_dinu,102,NameType:Akk | Gender:Male,,
BM 134973,May 28 650,Loan,,Object:Silver | City:Borsippa,borrower,,Qarr_d-ili,103,NameType:Akk | Gender:Male,,
BM 134973,May 28 651,Loan,,Object:Silver | City:Borsippa,borrower,,Ura_-ibni,104,NameType:Akk | Gender:Male,,
BM 134973,May 28 652,Loan,,Object:Silver | City:Borsippa, father,,Qarr_d-ili,105,NameType:Akk | Gender:Male,,
BM 134973,May 28 653,Loan,,Object:Orchard | City:Borsippa,,,Re__ya,106,NameType:Akk | Gender:Male,,
BM 134973,May 28 654,Loan,,Object:Orchard | City:Borsippa,neighbor,,Ka[É],107,NameType:Akk | Gender:Male,,
BM 134973,May 28 655,Loan,,Object:Silver | City:Borsippa,witness,,Nabž-u_allim,108,NameType:Akk | Gender:Male,,
BM 134973,May 28 656,Loan,,Object:Silver | City:Borsippa, father,,A___tu,109,NameType:Akk | Gender:Male,,
BM 134973,May 28 657,Loan,,Object:Silver | City:Borsippa,witness,,R_m_tu,110,NameType:Akk | Gender:Male,,
BM 134973,May 28 658,Loan,,Object:Silver | City:Borsippa, father,,Ibn_ya,111,NameType:Akk | Gender:Male,,
BM 134973,May 28 659,Loan,,Object:Silver | City:Borsippa,witness,,Kun_,112,NameType:Akk | Gender:Male,,
BM 134973,May 28 660,Loan,,Object:Silver | City:Borsippa,ancestor,,Ea-dip_r-il_ni,113,NameType:Akk | Gender:Male,,
BM 134973,May 28 661,Loan,,Object:Silver | City:Borsippa,witness,,B_l-a___-er_ba,114,NameType:Akk | Gender:Male,,
BM 134973,May 28 662,Loan,,Object:Silver | City:Borsippa, father,,L‰b‰_i-il_,115,NameType:Akk | Gender:Male,,
BM 134973,May 28 663,Loan,,Object:Silver | City:Borsippa,scribe,,B_l-a_a-iddin,116,NameType:Akk | Gender:Male,,
BM 134973,May 28 664,Loan,,Object:Silver | City:Borsippa,ancestor,,Q_pu,117,NameType:Akk | Gender:Male,,
BM 134969,Apr 12 614,Loan,,Object:Silver | City:Borsippa,lender,,L‰b‰_i,118,NameType:Akk | Gender:Male,,
BM 134969,Apr 12 615,Loan,,Object:Land | City:Dilbat, father,,N_dinu,119,NameType:Akk | Gender:Male,,
BM 134969,Apr 12 616,Loan,,Object:Land | City:Dilbat,neighbor,,Imb_,120,NameType:Akk | Gender:Male,,
BM 134969,Apr 12 617,Loan,,Object:Land | City:Dilbat, father,,Kin_,121,NameType:Akk | Gender:Male,,
BM 134969,Apr 12 618,Loan,,Object:Land | City:Dilbat,borrower,,Bal_ssu,122,NameType:Akk | Gender:Male,,
BM 134969,Apr 12 619,Loan,,Object:Land | City:Dilbat, father,,Nabž-a___-bulli_,123,NameType:Akk | Gender:Male,,
BM 134969,Apr 12 620,Loan,,Object:Land | City:Dilbat,witness,,B_l-z_ri,124,NameType:Akk | Gender:Male,,
BM 134969,Apr 12 621,Loan,,Object:Land | City:Dilbat,ancestor,,_angž-Dilbat,125,NameType:Akk | Gender:Male,,
BM 134969,Apr 12 622,Loan,,Object:Land | City:Dilbat,witness,,Gula-z_ra-ibni,126,NameType:Akk | Gender:Male,,
BM 134969,Apr 12 623,Loan,,Object:Land | City:Dilbat, father,,Ninurta-a_a-iddin,127,NameType:Akk | Gender:Male,,
BM 134969,Apr 12 624,Loan,,Object:Land | City:Dilbat,scribe,,Nabž-n_din-a_i,128,NameType:Akk | Gender:Male,,
BM 134969,Apr 12 625,Loan,,Object:Land | City:Dilbat,ancestor,,B_l-e__ru,129,NameType:Akk | Gender:Male,,
