Text_ID,Date,Activity_attribute,Activity,Activity_attribute,Role,Person_name,ID,Person_attribute,relation,Writing
BM 134970,Jan 25 689,City:Dilbat,Sale,Object: land,witness,Ura_-udammiq,23,NameType:Akk | Gender:Male,Descendant: 24,
BM 134970,Jan 25 690,City:Dilbat,Sale,Object: land,ancestor,Kidin-Ura_,24,NameType:Akk | Gender:Male,Ancestor: 23,
BM 134970,Jan 25 691,City:Dilbat,Sale,Object: land,witness,B_l-a___-er_ba,25,NameType:Akk | Gender:Male,Descendant: 26,
BM 134970,Jan 25 692,City:Dilbat,Sale,Object: land,ancestor,A_ab_u,26,NameType:Akk | Gender:Male,Ancestor: 25,
BM 134970,Jan 25 693,City:Dilbat,Sale,Object: land,witness,B_l-l_'i,27,NameType:Akk | Gender:Male,Descendant: 28,
BM 134970,Jan 25 694,City:Dilbat,Sale,Object: land,witness,Irânni,28,NameType:Akk | Gender:Male,Ancestor: 27,
BM 134970,Jan 25 695,City:Dilbat,Sale,Object: land,witness,Er_ba,29,NameType:Akk | Gender:Male,Descendant: 30,
BM 134970,Jan 25 696,City:Dilbat,Sale,Object: land,witness,_angû-Dilbat,30,NameType:Akk | Gender:Male,Ancestor: 29,
PTS 2318,Jan 2 659,City:Dilbat,Dedication,Object: child,buyer,Lâbâ_i,31,NameType:Akk | Gender:Male,Son: 32,
PTS 2318,Jan 2 660,City:Dilbat,Dedication,Object: child, father,N_dinu,32,NameType:Akk | Gender:Male,Father: 31,
PTS 2318,Jan 2 661,City:Dilbat,Dedication,Object: child,seller,_a-pî-ili,33,NameType:Akk | Gender:Male,Father: 36,
PTS 2318,Jan 2 662,City:Dilbat,Dedication,Object: child,seller,Bin_tu,34,NameType:Akk | Gender:Female,Mother: 36,
PTS 2318,Jan 2 663,City:Dilbat,Dedication,Object: child,seller,_a-_apirti,35,NameType:Akk | Gender:Female,Mother: 36,
PTS 2318,Jan 2 664,City:Dilbat,Dedication,Object: child,dedicant,Tardinnu,36,NameType:Akk | Gender:Male,Son: 33,
PTS 2318,Jan 2 665,City:Dilbat,Dedication,Object: child,witness,[…]-_pu_,37,NameType:Akk | Gender:Male,Descendant: 38,
PTS 2318,Jan 2 666,City:Dilbat,Dedication,Object: child,ancestor,Epp__-ili,38,NameType:Akk | Gender:Male,Ancestor: 37,
PTS 2318,Jan 2 667,City:Dilbat,Dedication,Object: child,witness,B_l-useppi,39,NameType:Akk | Gender:Male,Descendant: 40,
PTS 2318,Jan 2 668,City:Dilbat,Dedication,Object: child,ancestor,Tem_ya,40,NameType:Akk | Gender:Male,Ancestor: 39,
PTS 2318,Jan 2 669,City:Dilbat,Dedication,Object: child,witness,B_l-iddin,41,NameType:Akk | Gender:Male,Descendant: 42,
PTS 2318,Jan 2 670,City:Dilbat,Dedication,Object: child,ancestor,_angû-Dilbat,42,NameType:Akk | Gender:Male,Ancestor: 41,
PTS 2318,Jan 2 671,City:Dilbat,Dedication,Object: child,witness,A_a-er_ba,43,NameType:Akk | Gender:Male,Descendant: 43,
PTS 2318,Jan 2 672,City:Dilbat,Dedication,Object: child,ancestor,Kal_mu,44,NameType:Akk | Gender:Male,Ancestor: 44,
PTS 2318,Jan 2 673,City:Dilbat,Dedication,Object: child,witness,Nabû-z_ra-ibni,45,NameType:Akk | Gender:Male,Son: 46,
PTS 2318,Jan 2 674,City:Dilbat,Dedication,Object: child, father,Nabû-a_a-iddin,46,NameType:Akk | Gender:Male,Father: 45,
PTS 2318,Jan 2 675,City:Dilbat,Dedication,Object: child,witness,Kudurru,47,NameType:Akk | Gender:Male,Descendant: 48,
PTS 2318,Jan 2 676,City:Dilbat,Dedication,Object: child,ancestor,_angû-Dilbat,48,NameType:Akk | Gender:Male,Ancestor: 47,
PTS 2318,Jan 2 677,City:Dilbat,Dedication,Object: child,scribe,Nabû-a___-bulli_,49,NameType:Akk | Gender:Male,Descendant: 50,
PTS 2318,Jan 2 678,City:Dilbat,Dedication,Object: child,ancestor,Iddin-Papsukkal,50,NameType:Akk | Gender:Male,Ancestor: 49,
BM 46542,Dec 21 653,City:Dilbat,Sale,Object: land,place name,Iqbi-Ura_,51,NameType:Akk | Gender:Male,Son: 52,
BM 46542,Dec 21 654,City:Dilbat,Sale,Object: land,place name,Kidinnu,52,NameType:Akk | Gender:Male,Father: 51,
BM 46542,Dec 21 655,City:Dilbat,Sale,Object: land,neighbor,N__iru,53,NameType:Akk | Gender:Male,Son: 54,
BM 46542,Dec 21 656,City:Dilbat,Sale,Object: land, father,Nabû-a_a-_re_,54,NameType:Akk | Gender:Male,Father: 53,
BM 46542,Dec 21 657,City:Dilbat,Sale,Object: land,neighbor,B_l-uballi_,55,NameType:Akk | Gender:Male,Descendant: 56,
BM 46542,Dec 21 658,City:Dilbat,Sale,Object: land,ancestor,Rabûssu,56,NameType:Akk | Gender:Male,Ancestor: 55,
BM 46542,Dec 21 659,City:Dilbat,Sale,Object: land,buyer,Lâbâ_i,57,NameType:Akk | Gender:Male,Son: 58,
BM 46542,Dec 21 660,City:Dilbat,Sale,Object: land, father,N_dinu,58,NameType:Akk | Gender:Male,Father: 57,
BM 46542,Dec 21 661,City:Dilbat,Sale,Object: land,seller,Nabû-u_ab_i,59,NameType:Akk | Gender:Male,Son: 61,
BM 46542,Dec 21 662,City:Dilbat,Sale,Object: land,seller,_ama_-iddin,60,NameType:Akk | Gender:Male,Son: 61,
BM 46542,Dec 21 663,City:Dilbat,Sale,Object: land, father,A___a,61,NameType:Akk | Gender:Male,Father: 59 | Father: 60,
BM 46542,Dec 21 664,City:Dilbat,Sale,Object: land,house,[…]-_re_,62,NameType:Akk | Gender:Male,Ancestor,
BM 46542,Dec 21 665,City:Dilbat,Sale,Object: land,witness,B_l-__ir,63,NameType:Akk | Gender:Male,Descendant: 64,
BM 46542,Dec 21 666,City:Dilbat,Sale,Object: land,ancestor,_angû-Dilbat,64,NameType:Akk | Gender:Male,Ancestor: 63,
BM 46542,Dec 21 667,City:Dilbat,Sale,Object: land,witness,B_l-r_manni,65,NameType:Akk | Gender:Male,Descendant: 66,
BM 46542,Dec 21 668,City:Dilbat,Sale,Object: land,ancestor,Epp__-ili,66,NameType:Akk | Gender:Male,Ancestor: 65,
BM 46542,Dec 21 669,City:Dilbat,Sale,Object: land,witness,R_m_tu,67,NameType:Akk | Gender:Male,Descendant: 68,
BM 46542,Dec 21 670,City:Dilbat,Sale,Object: land,ancestor,_angû-Dilbat,68,NameType:Akk | Gender:Male,Ancestor: 67,
BM 46542,Dec 21 671,City:Dilbat,Sale,Object: land,witness,E__ru,69,NameType:Akk | Gender:Male,Descendant: 70,
BM 46542,Dec 21 672,City:Dilbat,Sale,Object: land,ancestor,_angû-Dilbat,70,NameType:Akk | Gender:Male,Ancestor: 69,
BM 46542,Dec 21 673,City:Dilbat,Sale,Object: land,witness,Nabû-u_allim,71,NameType:Akk | Gender:Male,Descendat: 72,
BM 46542,Dec 21 674,City:Dilbat,Sale,Object: land,ancestor,B_'iru,72,NameType:Akk | Gender:Male,Ancestor: 71,
BM 46542,Dec 21 675,City:Dilbat,Sale,Object: land,witness,Marduk-n__ir,73,NameType:Akk | Gender:Male,Descendant: 74,
BM 46542,Dec 21 676,City:Dilbat,Sale,Object: land,ancestor,Sîn-imitt_,74,NameType:Akk | Gender:Male,Ancestor: 73,
BM 46542,Dec 21 677,City:Dilbat,Sale,Object: land,scribe,Nabû-kudurr_-u_ur,75,NameType:Akk | Gender:Male,Descendant: 76,
BM 46542,Dec 21 678,City:Dilbat,Sale,Object: land,ancestor,_angû-Dilbat,76,NameType:Akk | Gender:Male,Ancestor: 75,
MLC 1739,Apr 15 648,City:Borsippa,Sale,Object: land,place name,Iqbi-Ura_,77,NameType:Akk | Gender:Male,Descendant: 78,
MLC 1739,Apr 15 649,City:Borsippa,Sale,Object: land,place name,R_'û-alp_,78,NameType:Akk | Gender:Male,Ancestor: 77,
MLC 1739,Apr 15 650,City:Borsippa,Sale,Object: land,buyer | neighbor,Lâbâ_i,79,NameType:Akk | Gender:Male,Son: 81,
MLC 1739,Apr 15 651,City:Borsippa,Sale,Object: land, father,N_dinu,81,NameType:Akk | Gender:Male,Father: 79,
MLC 1739,Apr 15 652,City:Borsippa,Sale,Object: land,neighbor,Ura_-u_allim,82,NameType:Akk | Gender:Male,Son: 83,
MLC 1739,Apr 15 653,City:Borsippa,Sale,Object: land, father,Nabû-er_ba,83,NameType:Akk | Gender:Male,Father: 82,
MLC 1739,Apr 15 654,City:Borsippa,Sale,Object: land,place name,Iqbi-Ura_,84,NameType:Akk | Gender:Male,Son: 85,
MLC 1739,Apr 15 655,City:Borsippa,Sale,Object: land,place name,Kidinnu,85,NameType:Akk | Gender:Male,Father: 84,
MLC 1739,Apr 15 656,City:Borsippa,Sale,Object: land,seller,Nabû-k__ir,86,NameType:Akk | Gender:Male,Son: 88,
MLC 1739,Apr 15 657,City:Borsippa,Sale,Object: land,seller,Ura_-n__ir,87,NameType:Akk | Gender:Male,Son: 88,
MLC 1739,Apr 15 658,City:Borsippa,Sale,Object: land, father,B_l-upa__ir,88,NameType:Akk | Gender:Male,Father: 86 | Father: 87,
MLC 1739,Apr 15 659,City:Borsippa,Sale,Object: land,house,Rabûssu,90,NameType:Akk | Gender:Male,,
MLC 1739,Apr 15 660,City:Borsippa,Sale,Object: land,witness,Nabû-a___-bulli_,91,NameType:Akk | Gender:Male,Descendant: 92,
MLC 1739,Apr 15 661,City:Borsippa,Sale,Object: land,ancestor,_angû-Dilbat,92,NameType:Akk | Gender:Male,Ancestor: 91,
MLC 1739,Apr 15 662,City:Borsippa,Sale,Object: land,witness,R_m_tu,93,NameType:Akk | Gender:Male,Son: 94,
MLC 1739,Apr 15 663,City:Borsippa,Sale,Object: land, father,_ul_a,94,NameType:Akk | Gender:Male,Father: 93,
MLC 1739,Apr 15 664,City:Borsippa,Sale,Object: land,witness,Nabû-z_ra-uk_n,95,NameType:Akk | Gender:Male,Son: 96,
MLC 1739,Apr 15 665,City:Borsippa,Sale,Object: land, father,Nabû-_uma-iddin,96,NameType:Akk | Gender:Male,Father: 95,
MLC 1739,Apr 15 666,City:Borsippa,Sale,Object: land,witness,Kin_,97,NameType:Akk | Gender:Male,Son: 98,
MLC 1739,Apr 15 667,City:Borsippa,Sale,Object: land, father,Ura_-iddin,98,NameType:Akk | Gender:Male,Father: 97,
MLC 1739,Apr 15 668,City:Borsippa,Sale,Object: land,witness,Ura_-iddin,99,NameType:Akk | Gender:Male,Son: 100,
MLC 1739,Apr 15 669,City:Borsippa,Sale,Object: land, father,R_m_tu,100,NameType:Akk | Gender:Male,Father: 99,
MLC 1739,Apr 15 670,City:Borsippa,Sale,Object: land,scribe,Nabû-n_din-a_i,101,NameType:Akk | Gender:Male,Descendant: 102,
MLC 1739,Apr 15 671,City:Borsippa,Sale,Object: land,ancestor,_angû-Dilbat,102,NameType:Akk | Gender:Male,Ancestor: 101,
BM 134973,May 28 648,City:Borsippa,Loan,Object: silver,lender,Lâbâ_i,103,NameType:Akk | Gender:Male,Son: 104,
BM 134973,May 28 649,City:Borsippa,Loan,Object: silver, father,N_dinu,104,NameType:Akk | Gender:Male,Father: 103,
BM 134973,May 28 650,City:Borsippa,Loan,Object: silver,borrower,Qarr_d-ili,105,NameType:Akk | Gender:Male,,
BM 134973,May 28 651,City:Borsippa,Loan,Object: silver,borrower,Ura_-ibni,106,NameType:Akk | Gender:Male,Son: 107,
BM 134973,May 28 652,City:Borsippa,Loan,Object: silver, father,Qarr_d-ili,107,NameType:Akk | Gender:Male,Father: 106,
BM 134973,May 28 653,City:Borsippa,Loan,Object: orchard,,Re__ya,108,NameType:Akk | Gender:Male,,
BM 134973,May 28 654,City:Borsippa,Loan,Object: orchard,neighbor,Ka[…],109,NameType:Akk | Gender:Male,,
BM 134973,May 28 655,City:Borsippa,Loan,Object: silver,witness,Nabû-u_allim,110,NameType:Akk | Gender:Male,Son: 111,
BM 134973,May 28 656,City:Borsippa,Loan,Object: silver, father,A___tu,111,NameType:Akk | Gender:Male,Father: 110,
BM 134973,May 28 657,City:Borsippa,Loan,Object: silver,witness,R_m_tu,112,NameType:Akk | Gender:Male,Son: 113,
BM 134973,May 28 658,City:Borsippa,Loan,Object: silver, father,Ibn_ya,113,NameType:Akk | Gender:Male,Father: 112,
BM 134973,May 28 659,City:Borsippa,Loan,Object: silver,witness,Kun_,114,NameType:Akk | Gender:Male,Son: 115,
BM 134973,May 28 660,City:Borsippa,Loan,Object: silver,ancestor,Ea-dip_r-il_ni,115,NameType:Akk | Gender:Male,Ancestor: 114,
BM 134973,May 28 661,City:Borsippa,Loan,Object: silver,witness,B_l-a___-er_ba,116,NameType:Akk | Gender:Male,Son: 117,
BM 134973,May 28 662,City:Borsippa,Loan,Object: silver, father,Lâbâ_i-il_,117,NameType:Akk | Gender:Male,Father: 116,
BM 134973,May 28 663,City:Borsippa,Loan,Object: silver,scribe,B_l-a_a-iddin,118,NameType:Akk | Gender:Male,Descendant: 119,
BM 134973,May 28 664,City:Borsippa,Loan,Object: silver,ancestor,Q_pu,119,NameType:Akk | Gender:Male,Ancestor: 118,
BM 134969,Apr 12 614,City:Dilbat,Loan,Object: land,lender,Lâbâ_i,120,NameType:Akk | Gender:Male,Son: 120,
BM 134969,Apr 12 615,City:Dilbat,Loan,Object: land, father,N_dinu,121,NameType:Akk | Gender:Male,Father: 121,
BM 134969,Apr 12 616,City:Dilbat,Loan,Object: land,neighbor,Imb_,122,NameType:Akk | Gender:Male,Son: 123,
BM 134969,Apr 12 617,City:Dilbat,Loan,Object: land, father,Kin_,123,NameType:Akk | Gender:Male,Father: 122,
BM 134969,Apr 12 618,City:Dilbat,Loan,Object: land,borrower,Bal_ssu,124,NameType:Akk | Gender:Male,Son: 125,
BM 134969,Apr 12 619,City:Dilbat,Loan,Object: land, father,Nabû-a___-bulli_,125,NameType:Akk | Gender:Male,Father: 124,
BM 134969,Apr 12 620,City:Dilbat,Loan,Object: land,witness,B_l-z_ri,126,NameType:Akk | Gender:Male,Descendant: 127,
BM 134969,Apr 12 621,City:Dilbat,Loan,Object: land,ancestor,_angû-Dilbat,127,NameType:Akk | Gender:Male,Ancestor: 126,
BM 134969,Apr 12 622,City:Dilbat,Loan,Object: land,witness,Gula-z_ra-ibni,128,NameType:Akk | Gender:Male,Son: 129,
BM 134969,Apr 12 623,City:Dilbat,Loan,Object: land, father,Ninurta-a_a-iddin,129,NameType:Akk | Gender:Male,Father: 128,
BM 134969,Apr 12 624,City:Dilbat,Loan,Object: land,scribe,Nabû-n_din-a_i,130,NameType:Akk | Gender:Male,Descendant: 131,
BM 134969,Apr 12 625,City:Dilbat,Loan,Object: land,ancestor,B_l-e__ru,131,NameType:Akk | Gender:Male,Ancestor: 130,
