Text_ID,Date,Activity,Activity_sequence,Activity_attribute,Role,Role_attribute,Person_name,Person_sequence,Person_attribute,Relation,DEV NOTES
P.Mich. V 238 I 40,19 Sept. 46,Lease,,Object:Land | LandType:Arouras,Lessee,,Ptolemas,78,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 40,19 Sept. 46,Lease,,Object:Land | LandType:Auroras,Lessor,,Taorseus,79,NameType:Egyptian | Gender:Female,,
P.Mich. V 238 I 41,19 Sept. 46,Lease,,Object:Land | LandType:Auroras,Lessor,,Haruotes,80,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 41,19 Sept. 46,Lease,,Object:Land | LandType:Auroras,Lessee,,Maron,81,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 41,19 Sept. 46,Lease,,Object:Land | LandType:Auroras,Lessor,,Others,82,,,
P.Mich. V 238 I 42,22 Sept. 46,Division,,,Beneficiaries,,Sons,83,Gender:Male,Sons:Tephersos,
P.Mich. V 238 I 42,22 Sept. 46,Division,,,Assignor,,Tephersos,84,NameType:Egyptian | Gender:Unknown,,
P.Mich. V 238 I 43-44,22 Sept. 46,Deposit,,Object:Wheat+Barley | Money:200dr,Debtor,,Herakles,85,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 43-44,22 Sept. 46,Deposit,,Object:Wheat+Barley | Money:200dr,Creditor,,Kronion,86,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 43-44,22 Sept. 46,Deposit,,Object:Wheat+Barley | Money:200dr,Debtor,,Wife,87,,Wife:Herakles,
P.Mich. V 238 I 45,22 Sept. 46,Lease,,Object:Land | LandType:Arouras,Creditor,,Didumos,88,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 45,22 Sept. 46,Lease,,Object:Land | LandType:Auroras,Debtor,,Herodion,89,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 46,22 Sept. 46,Offer of residence,,Money:20dr,Creditor,,Mareus,90,NameType:Greek/Egyptian | Gender:Male,,
P.Mich. V 238 I 46,22 Sept. 46,Offer of residence,,Money:20dr,Debtor,,Orseus,91,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 46,22 Sept. 46,Offer of residence,,Money:20dr,Debtor,,Wife,92,Gender:Female,Wife:Orseus,
P.Mich. V 238 I 47,22 Sept. 46,Lease,,Object:Land | LandType:Arouras,Lessee,,Herakles,93,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 47,22 Sept. 46,Lease,,Object:Land | LandType:Auroras,Lessor,,Kronides,94,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 47,22 Sept. 46,Lease,,Object:Land | LandType:Arouras,Lessee,,Other,95,,,
P.Mich. V 238 I 48,22 Sept. 46,Sale,,Object:Donkey,Buyer,,Kronion,96,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 48,22 Sept. 46,Sale,,Object:Donkey,Seller,,Thenatumis,97,NameType: Egyptian | Gender:Female,,
P.Mich. V 238 I 49,22 Sept. 46,Lease,,Object:Land | LandType:Arouras,Lessor,,Other,98,,,
P.Mich. V 238 I 49,22 Sept. 46,Lease,,Object:Land | LandType:Arouras,Lessee,,Peteeus,99,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 49,22 Sept. 46,Lease,,Object:Land | LandType:Arouras,Lessor,,Peteeus,100,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 5 = 128 III 34,2 Sept. 46,Lease,,Object:Land | LandType:Arouras,Lessee,,Dios,101,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 5 = 128 III 34,2 Sept. 46,Lease,,Object:Land | LandType:Arouras,Lessor,,Haruotes,102,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 5 = 128 III 34,2 Sept. 46,Lease,,Object:Land | LandType:Arouras,Lessee,,Other,103,,,
P.Mich. V 238 I 50,22 Sept. 46,Loan,,Money:620dr,Debtor,,Horos,104,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 50,22 Sept. 46,Loan,,Money:620dr,Creditor,,Lusimachos,105,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 50,22 Sept. 46,Loan,,Money:620dr,Debtor,,Other,106,,,
P.Mich. V 238 I 51,22 Sept. 46,Receipt,,Money:208dr,Recipient,,Kronides,107,NameType:Greek | Gender:Male,,
P.Mich. V 238 I 51,22 Sept. 46,Receipt,,Money:208dr,Giver,,Other,18,,,
P.Mich. V 238 I 51,22 Sept. 46,Receipt,,Money:208dr,Giver,,Patunis,109,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 6 = 128 III 35,2 Sept. 46,Receipt,,Object:Money | LandType:Arouras | Money:92dr,Recipient,,Other,110,,,
P.Mich. V 238 I 6 = 128 III 35,2 Sept. 46,Receipt,,Object:Money | LandType:Arouras | Money:92dr,Recipient,,Papontos,111,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 6 = 128 III 35,2 Sept. 46,Receipt,,Object:Money | LandType:Arouras | Money:92dr,Giver,,Pastoous,112,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 7,2 Sept. 46,Receipt,,Object:Money | Money:420dr,Giver,,Didume,113,NameType:Greek | Gender:Female,,
P.Mich. V 238 I 7,2 Sept. 46,Receipt,,Object:Money | Money:420dr,Recipient,,Hatres,114,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 7,2 Sept. 46,Receipt,,Object:Money | Money:420dr,Recipient,,Wife,115,Gender:Female,Wife:Hatres,
P.Mich. V 238 I 8,2 Sept. 46,Mortgage,,Object:Share_of_house,Creditor,,Papnebtunis,116,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 8,2 Sept. 46,Mortgage,,Object:Share_of_house,Debtor,,Thenkebkis,117,NameType:Egyptian | Gender:Female,,
P.Mich. V 238 I 9,2 Sept. 46,Loan,,Object:Money | Money:100dr,Creditor,,Papnebtunis,118,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 I 9,2 Sept. 46,Loan,,Object:Money | Money:100dr,Debtor,,Thenkebkis,119,NameType:Egyptian | Gender:Female,,
P.Mich. V 238 II 100,1 Oct. 46,Contract,,Object:Wheat,Issuer,,Lusimachos,120,NameType:Greek | Gender:Male,,
P.Mich. V 238 II 100,1 Oct. 46,Contract,,Object:Wheat,Receiver,,Psentamieus,121,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 II 101,1 Oct. 46,Lease,,Object:Land | LandType:Arouras,Lessor,,Herakles,122,NameType:Greek | Gender:Male,,
P.Mich. V 238 II 101,1 Oct. 46,Lease,,Object:Land | LandType:Arouras,Lessee,,Onnophris,123,NameType:Egyptian | Gender:Male,,"Corrected mistake, labeled as lessor but papyri.info shows he was lesse"
P.Mich. V 238 II 102,1 Oct. 46,Sale,,Object:Oxen,Seller,,Orseus,124,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 II 102,1 Oct. 46,Sale,,Object:Oxen,Buyer,,Pouoris,125,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 II 103,1 Oct. 46,Lease,,Object:Partnership_in_farming,Lessor,,Mieus,126,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 II 103,1 Oct. 46,Lease,,Object:Partnership_in_farming,Lessee,,Mieus,127,NameType:Egyptian | Gender:Male,Son:Phomsais,
P.Mich. V 238 II 103,1 Oct. 46,Lease,,Object:Partnership_in_farming,Lessor,,Other,128,,,
P.Mich. V 238 II 104,2 Oct. 46,Work contract,,Money:24dr,Creditor,,Didumos,129,NameType:Greek | Gender:Male,,
P.Mich. V 238 II 104,2 Oct. 46,Work contract,,Money:24dr,Debtor,,Marsisouchos ,130,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 II 104,2 Oct. 46,Work contract,,Money:24dr,Debtor,,Other,131,,,
P.Mich. V 238 II 105,2 Oct. 46,Deposit,,Object:Wheat | Money:7dr,Creditor,,Lusimachos,132,NameType:Greek | Gender:Male,,
P.Mich. V 238 II 105,2 Oct. 46,Deposit,,Object:Wheat | Money:7dr,Debtor,,Tephersos,133,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 II 105,2 Oct. 46,Deposit,,Object:Wheat | Money:7dr,Debtor,,Wife,134,,Wife:Tephersos,
P.Mich. V 238 II 106,2 Oct. 46,Offer of residence,,Money:24dr,Creditor,,Teues,135,NameType:Egyptian | Gender:Female,,
P.Mich. V 238 II 106,2 Oct. 46,Offer of residence,,Money:24dr,Debtor,,Tmarsis,136,NameType:Egyptian | Gender:Female,,
P.Mich. V 238 II 107,2 Oct. 46,Contract,,Object:Wheat,Receiver,,Heron,137,NameType:Greek | Gender:Male,,
P.Mich. V 238 II 107,2 Oct. 46,Contract,,Object:Wheat,Issuer,,Nestnephis,138,NameType:Egyptian | Gender:Male,,
P.Mich. V 238 II 107,2 Oct. 46,Contract,,Object:Wheat,Issuer,,Other,139,,,
,,,,,,,,140,,,
